activityID,heart_rate,hand temperature (°C),hand acceleration X ±16g,hand acceleration Y ±16g,hand acceleration Z ±16g,hand gyroscope X,hand gyroscope Y,hand gyroscope Z,hand magnetometer X,hand magnetometer Y,hand magnetometer Z,chest temperature (°C),chest acceleration X ±16g,chest acceleration Y ±16g,chest acceleration Z ±16g,chest gyroscope X,chest gyroscope Y,chest gyroscope Z,chest magnetometer X,chest magnetometer Y,chest magnetometer Z,ankle temperature (°C),ankle acceleration X ±16g,ankle acceleration Y ±16g,ankle acceleration Z ±16g,ankle gyroscope X,ankle gyroscope Y,ankle gyroscope Z,ankle magnetometer X,ankle magnetometer Y,ankle magnetometer Z,PeopleId
ironing,88.0,33.8125,-6.05542,3.19372,6.6739,-0.560412,0.159437,0.481877,25.5811,-25.7112,-57.2088,36.1875,-1.04906,9.65554,-1.40205,0.196788,-0.13544,-0.128894,-1.39064,-39.6135,-9.94571,34.9375,8.06367,0.805547,-2.71693,1.52046,-1.01561,-0.982677,-41.5326,17.2227,38.2604,6
transient activities,169.0,30.25,-4.76269,7.93693,-0.596847,-0.845068,-0.0267813,-0.497981,36.4372,-24.1687,-10.0976,33.5625,1.35241,10.1749,-1.39895,-0.178368,-0.567607,-0.0889251,9.16822,-38.2274,14.6337,33.0,10.0994,0.0279102,-2.03521,-0.110521,0.728098,-0.484582,-38.0779,3.29061,6.23528,1
standing,69.0,32.875,-9.22699,2.42239,2.51085,0.0959546,-0.0345029,-0.0806757,32.1674,-10.0211,-8.36771,35.4375,0.0345554,9.80645,-0.840812,0.0434093,-0.03646,0.00552133,-1.64173,-32.0038,-1.81241,32.25,9.63565,-0.8776,-2.38165,-0.0448729,-0.00616628,0.0309749,-2.67769,-3.74179,4.09801,7
transient activities,113.0,33.8125,-11.2341,2.96699,2.24802,-1.86355,-0.125217,2.58477,58.0863,7.02067,5.49828,35.9375,2.08056,10.0808,-3.82487,0.0149114,0.359728,-0.524136,-3.54616,-57.2951,32.1888,34.8125,10.4684,3.02048,-1.47115,-0.638725,0.409001,-1.33185,-11.2349,-9.66265,4.76356,1
sitting,74.3,33.5,0.739914,7.87353,5.60528,-0.423976,-0.0328454,0.0078454,3.10639,-21.7569,-21.0984,35.8125,0.778205,9.96787,1.10818,-0.0378516,0.000545073,-0.00632754,3.84046,-24.3352,-5.62492,34.6875,9.34876,-0.792614,-3.27268,-0.0154446,-0.0156709,0.00260466,-17.7849,-3.09287,12.2704,6
transient activities,187.0,30.8125,3.00432,-5.0885,4.95167,-3.1693,2.02253,2.09809,-3.2632,24.3669,-32.9136,34.0625,0.56973,10.1149,0.484393,0.0403219,-0.0680216,-0.116063,5.74635,-34.7428,13.342,31.6875,9.54632,0.143124,-1.77147,-0.0154953,0.00587609,0.0390426,-22.0221,12.5812,16.7759,8
vacuum cleaning,93.0,34.1875,-2.64804,10.8559,0.964476,1.58847,-0.0464133,0.437284,6.24865,-51.9558,-20.7904,37.3125,-3.83075,8.3298,-3.88755,0.157428,0.0371835,-0.0475014,14.2676,-49.1106,9.67577,33.125,9.90373,0.276398,0.238027,-0.0696808,0.0196067,0.00436823,-64.3034,14.7237,28.1131,7
lying,86.0,33.8125,6.42227,-2.02332,7.03236,0.0422069,0.0190102,-0.0169804,-40.1334,-7.40743,-15.3236,36.8125,0.987819,-0.67179,9.20052,-0.0233021,0.0597802,-0.0482694,35.1701,14.8995,-28.8954,33.375,-0.907307,6.63322,-7.43726,-0.0231085,-0.0161372,0.00888202,-14.8019,8.16455,38.2231,8
transient activities,155.0,27.9375,-5.56439,4.6278,2.01945,-0.599835,1.88564,-2.00814,33.6175,-16.799,-7.27969,33.1875,2.94243,6.07709,-5.22892,1.7227,1.39973,0.0253864,-3.34139,-17.2673,25.0239,33.875,8.46381,1.76766,-4.60969,0.278335,-0.548107,-0.301744,-30.9829,-7.94475,21.0232,6
vacuum cleaning,109.0,34.6875,-5.76816,-11.7829,3.88067,0.391646,-0.897427,-2.33321,49.6111,4.79799,-23.1909,38.25,0.601316,5.31058,-8.32779,-0.145246,-0.163832,-0.171921,-21.7884,-24.2045,33.5362,34.6875,9.1615,-2.08429,-3.03505,-0.0548251,0.214456,0.602553,-27.6937,-19.2524,-3.20543,8
ironing,92.0,34.6875,-4.60276,-5.58124,6.80224,-0.109757,-0.0367156,0.570004,19.797,20.2704,-49.602,37.75,-1.58906,9.55162,-0.327305,-0.0384,-0.299309,0.226626,-6.58957,-36.8427,-9.5746,34.5625,9.61791,-0.263999,-3.11884,-0.0824335,0.15038,0.0307687,-41.635,-17.9147,-3.68152,8
Nordic walking,115.0,30.6875,-0.539999,-7.79567,4.59981,0.79427,0.503273,0.498971,-4.40135,24.1711,-45.1147,33.8125,-3.1683,13.1076,1.33625,0.0708138,0.323661,0.207413,-10.2604,-38.5104,-11.8467,31.8125,14.1599,1.4419,-1.61645,0.300151,0.992007,2.12718,-46.7345,1.17734,10.1779,8
transient activities,109.0,34.5625,-13.5879,-0.881822,-1.66147,3.05212,-2.03038,-4.27947,45.59,8.63103,5.66505,38.125,0.686168,6.00454,-0.351998,0.0987332,-0.0599543,0.344657,18.8777,-30.847,17.6414,34.5625,9.52017,-0.637107,-3.85073,1.18636,0.10423,0.0376138,-37.2757,31.3858,23.3666,8
transient activities,124.0,28.9375,-0.0649049,8.17982,5.20732,-0.252208,-0.0854931,-0.129484,16.0479,-22.3244,-22.3023,34.25,0.0769745,9.85369,0.592478,0.0206622,0.0973009,-0.140057,7.2145,-26.0237,9.91862,32.75,9.55931,0.530282,-2.69989,-0.0273438,-0.0419732,0.0102041,-26.1612,-0.752775,9.25972,4
transient activities,78.0,33.4375,-9.74724,-1.56745,1.40038,-0.0208665,-0.0423695,-0.01895,48.8651,-7.17619,11.266,36.25,0.0220502,9.54895,0.05038,-0.0303849,-0.00281542,-0.00224867,6.62604,-38.6576,26.0608,33.0,9.47881,-0.3422,-2.73389,0.0349498,-0.0371041,-0.00849205,-36.3476,38.4278,-17.7697,8
Nordic walking,85.0,33.0625,-1.01081,3.03497,1.86211,-0.6821,0.255929,3.14979,21.4688,-38.6105,-5.02309,38.3125,0.324784,5.54988,-0.937881,0.0948272,1.06764,0.229154,-2.87256,-32.3749,26.241,32.3125,3.47581,-5.68897,-3.61124,-0.0693719,-1.07296,4.2164,-15.6797,-40.8173,3.52795,7
lying,82.0,31.8125,7.07024,1.23013,6.53075,0.0210199,0.0372063,-0.0108205,-1.97717,23.4745,-55.3199,33.5625,0.545762,-0.0647982,9.65519,0.0124856,-0.0197624,-0.00988119,46.4656,12.2586,-45.776,32.1875,-0.0794104,-7.07945,-7.30508,0.00751067,-0.0143973,-0.027257,-19.2165,44.9643,-0.158523,1
sitting,75.0,31.875,0.302465,4.89891,7.76406,-0.0479714,0.136593,-0.00182836,0.0875704,-11.8193,-27.9491,34.875,0.713538,9.30213,2.85162,-0.0280525,-0.00966496,-0.0590088,4.54354,-18.9861,-7.47452,32.8125,8.86193,-0.0229607,0.499328,1.67626,0.329675,-0.385937,-15.5882,-3.827,17.3631,3
transient activities,164.0,33.5625,5.22727,6.28363,5.71635,0.0107704,0.00286898,0.0238679,-13.5024,-27.6925,-16.5669,37.8125,1.71038,9.92258,0.428241,0.0383992,0.00480161,-0.040844,1.58551,-30.307,-11.6699,33.625,9.45217,0.0351533,-2.42779,0.0384351,0.012995,0.0487041,-4.73221,-10.8587,0.836902,8
transient activities,95.0,35.25,-11.7118,3.3908,2.54734,-1.1061,-0.367862,0.841267,33.0171,16.2248,-33.8564,37.6875,1.90384,11.1469,-2.16654,0.112245,-0.217666,-0.0570982,19.8563,-15.1537,21.7892,34.3125,10.3269,0.606701,-3.34851,0.0128304,-0.493819,-0.789543,-46.2692,-19.7306,0.701075,5
transient activities,101.0,33.0,-7.37924,3.1169,1.18913,-0.497478,0.17429,-0.0750012,39.2617,-43.5979,-9.76071,37.5,1.17641,8.76022,-4.6501,0.142012,0.331553,-0.050272,-12.5381,-48.0129,3.13654,35.0625,9.292,-2.39453,-2.33717,-0.00584187,-0.0368999,0.0236998,-40.211,39.0933,41.2927,2
transient activities,97.0,33.375,-6.5449,6.50141,2.76819,0.00804814,0.0061889,-0.00530641,17.5334,-41.6659,-19.6752,36.5,0.577154,9.45063,-3.07564,0.0175224,0.00470695,-0.038691,-17.4189,-33.2753,10.0693,34.1875,9.71422,-1.2214,-2.18576,0.00563104,0.0313874,-0.00871464,-45.8573,-1.90967,61.9439,2
transient activities,129.0,34.625,1.5954,8.2128,1.88368,-1.87737,0.191637,0.130641,14.832,-28.3357,-15.7018,38.3125,0.857363,9.91316,-1.36835,-0.238959,0.258948,0.0391616,8.28171,-25.6817,15.1413,34.3125,9.34636,-0.829941,-3.34965,0.170231,0.0679753,-0.0599291,-29.7072,-7.52522,10.2479,5
Nordic walking,115.0,30.375,4.42348,6.56942,-1.18589,-2.3757,0.67656,-0.877971,-2.24817,-41.944,-16.6345,35.8125,-4.79721,14.2929,-2.33688,-0.586176,0.252198,-0.329597,-7.5899,-38.4821,-9.85426,34.625,20.8721,-14.0229,-9.97993,-3.4055,0.854913,-3.18219,-39.4207,-10.9875,25.252,6
transient activities,125.0,30.875,-9.65134,-1.14635,1.90074,0.302099,0.194965,-0.229339,34.7026,10.5712,-3.24845,34.0,0.559484,9.69868,0.175793,0.0727725,-0.186781,-0.0837476,15.9696,-26.8552,2.93404,31.75,9.57243,0.298295,-2.19665,-0.271173,0.0766855,0.101265,-27.9777,13.2795,21.8601,8
transient activities,149.3,32.5625,-4.46476,7.01358,-5.9775,0.000824729,-0.00512831,-0.0467104,10.9466,-49.8188,23.2811,35.375,1.40375,9.85664,1.66197,-0.0465011,0.012979,-0.0474407,-10.8844,-47.0062,-5.17564,33.375,9.46576,0.536217,-3.35691,-0.0400213,-0.00504944,-0.0690446,-63.1027,14.0645,43.1523,4
Nordic walking,122.0,30.8125,1.27196,-0.548444,1.98536,1.13088,-0.97669,0.204912,0.687222,30.0046,-9.20284,33.9375,-0.379301,11.1348,0.502605,0.199512,0.280498,0.275749,16.8146,-26.1073,-2.14048,31.75,9.59479,-0.267938,-2.61739,0.303736,0.132359,0.0190122,-24.0896,12.0649,24.9955,8
transient activities,97.0,34.5,-8.71607,-1.09981,-0.548604,-0.225476,-0.0136146,-0.777745,43.8318,19.6448,4.81442,38.125,0.945958,15.1814,3.7273,0.0956185,-0.47392,0.0644117,16.687,-32.3317,34.6961,34.5,16.0053,0.280167,-4.90902,-0.368865,1.52862,2.54558,-10.5838,46.6797,-14.4265,8
rope jumping,156.0,33.8125,2.71828,11.4376,-5.61542,6.90019,-3.59967,-1.12132,7.97247,-47.3158,3.32466,36.4375,0.563305,2.35278,-0.303633,0.158882,0.00121531,-0.121097,25.2147,-41.8902,-4.95352,34.0625,7.826220500000001,13.49429,-12.773515,-1.3565825,0.669202,2.429367,-47.958650000000006,-2.60126,-3.93428,5
ironing,78.0,34.6875,-2.25817,-9.33117,1.11539,-1.35239,-0.602909,0.185381,10.2878,32.9509,-32.7307,37.8125,-0.0287702,10.2148,-1.73387,0.394661,0.152983,-0.000222642,-6.9933,-37.9908,-7.45582,34.625,9.67245,1.32788,-2.81945,0.116557,0.0154008,-0.0645021,-36.9549,-13.2747,-10.0529,8
transient activities,105.0,28.875,-5.89463,3.23284,6.94559,-0.0195078,0.0280356,-0.0141526,46.6075,-25.6985,-30.4801,34.125,0.968255,7.58153,-6.4312,-0.00487373,0.00973517,-0.0452697,-7.70518,-25.8999,47.7443,32.75,9.59672,1.9917,-0.35461,-0.0449319,0.0204101,0.00995507,-32.7672,-18.4376,12.661,4
transient activities,118.0,31.125,-0.302661,6.86305,6.24736,0.0983363,-0.190738,-0.196823,-5.49615,-26.733,-19.2505,36.9375,0.0800073,9.70385,0.709183,0.0454997,0.062798,-0.0311419,-8.07515,-24.6414,9.36471,34.5625,9.70785,-0.556441,0.0868284,0.0169658,0.036978,0.0181507,-36.1922,15.7624,26.0337,3
walking,100.0,32.125,-13.0037,1.19258,1.68868,0.839143,1.70649,-2.44552,55.043,-8.41081,-42.0192,36.625,0.489193,9.2023,-0.869333,0.385873,-0.146046,0.162517,25.5732,-55.177,-14.3229,34.9375,3.28143,0.926184,0.127492,0.254832,-0.309114,2.11249,-47.2105,-17.2706,-10.5098,6
transient activities,90.0,34.8125,-9.96463,-0.995273,1.54915,-1.10167,0.157191,1.04378,41.3687,-0.109654,-40.0734,38.1875,-0.496694,12.7237,1.54078,-0.171416,0.29951,-0.282785,-13.851,-36.9651,-6.38133,34.8125,12.9827,0.514251,-3.35929,-3.86592,0.062867,1.56396,-70.3629,-31.5856,26.1598,8
Nordic walking,137.0,32.125,1.47309,6.11013,4.23667,-0.380484,0.119301,0.00831142,-10.9215,-23.6464,-57.1141,36.8125,-1.28213,9.73052,-1.5614,0.08495,0.00741757,-0.0779485,16.5283,-49.3816,-26.5785,34.0,9.66861,-0.0506426,-1.38312,0.0227643,0.00800169,-0.0104643,-53.3689,32.1831,23.1311,1
walking,122.0,32.9375,-9.44416,-3.30195,2.8733,-0.0656152,0.735256,1.62496,41.6157,-25.2865,1.15444,37.4375,0.816316,9.10224,1.18913,-0.0298413,-0.31712,-0.26683,6.21927,-42.8875,15.6476,33.0625,22.9725,-18.0671,0.138581,-0.333465,-2.38764,-5.66777,-47.4698,5.84924,10.3118,8
sitting,75.0,31.875,0.207856,6.93983,6.79357,-0.0542825,0.0182248,-0.0140879,1.33798,-20.4185,-24.9314,34.8125,0.236249,9.27017,3.46261,0.0133223,-0.0269107,0.0150738,4.86185,-18.2067,-8.32668,32.8125,4.11819,-5.54865,-7.34871,0.0492295,-0.0172618,-0.00511744,-13.3362,17.2476,27.9669,3
sitting,79.0,34.375,-1.94988,-9.68262,0.274474,0.422053,0.0462227,-0.0311953,7.13149,24.57,-13.1199,37.625,0.183013,9.73855,0.323726,0.0423149,0.0101761,-0.0251031,6.51973,-25.3394,-3.2035,34.0,8.88192,2.77919,-3.26105,0.0272962,0.0167429,-0.0135214,-17.9468,16.6475,23.8771,8
cycling,132.0,34.125,-2.33312,7.17578,9.71824,1.39219,-0.079738,0.685996,9.76861,-19.1533,-49.3426,37.625,1.41683,10.0066,-9.52863,-0.409846,0.15017,0.393643,-4.92947,-42.4723,12.0426,34.1875,2.97023,-0.69292,-1.29347,-0.337129,0.745877,1.9168,-42.0805,12.7083,26.208,5
transient activities,90.8181818181818,33.25,-15.2854,2.8924,3.0728,-3.019,-1.70658,1.00787,48.3714,6.38887,5.37127,36.875,-1.64047,8.99302,0.564161,0.392856,0.428038,-0.224831,-3.99404,-37.1073,25.7127,34.25,9.82304,-0.194387,-2.49974,-0.250358,-0.184121,-0.680987,-38.6936,-21.0084,26.776,3
transient activities,91.0,31.5625,-0.287665,8.75921,1.9306,-0.341882,-0.150819,-0.166188,-3.07063,-27.6186,-20.5608,34.25,-0.721543,9.70609,0.655933,0.012066,-0.0229291,-0.0146796,3.82032,-27.1054,-8.96739,32.25,9.77386,0.292933,-1.69289,-0.00969316,0.00730232,-0.0310375,-3.37393,-4.78533,15.52,3
transient activities,198.0,30.8125,-5.44945,-6.73438,4.40723,-0.294765,1.079,2.13108,9.99903,42.5347,-13.7596,34.125,-2.07463,9.69718,-1.3046,0.16631,-0.256283,-0.0141794,31.3158,-33.4797,-0.16467,31.6875,9.30939,-0.107337,-3.47029,0.0520809,-0.0214375,-0.14773,-32.62,12.4026,38.8646,8
ironing,82.0,32.875,-5.41352,6.47375,4.90204,-0.0229256,-0.135687,-0.275175,13.0483,-18.2212,-37.0776,36.125,-3.14575,8.93826,-2.67677,-0.188142,0.0421221,0.198087,8.85413,-32.5822,-2.76951,33.75,9.3581,-0.284351,-0.420111,0.316045,-0.23072,0.353579,-35.118,15.4033,33.6954,3
transient activities,96.0,33.25,-8.18824,3.51743,2.83062,-0.198764,0.32058,0.00381285,35.8087,-38.2635,-11.4846,35.1875,-0.938056,8.82655,-1.43606,0.231174,1.38522,-0.0477015,-13.4406,-37.3577,-15.2595,34.3125,8.49109,0.227949,-2.05294,3.17906,2.27755,3.17953,-36.1905,-35.1451,51.9558,6
transient activities,149.0,33.8125,-1.88381,8.56152,3.87022,-0.0493329,-0.416024,-0.175107,-24.207,-48.2137,-10.7778,36.375,-0.234435,9.84441,-0.923251,0.199578,-0.634446,-0.314366,-9.44806,-39.546,-36.652,34.0625,4.40683,-2.36861,-1.77,-1.61581,-0.342334,0.250557,-53.9132,4.41128,24.8995,5
standing,81.0,33.625,-7.84074,3.86728,4.06624,-0.159029,0.137107,0.0569008,24.0098,-22.7597,-37.5387,36.0,0.823999,9.69732,0.103147,0.0394983,0.0926123,-0.0442837,-4.88952,-31.2238,-16.3629,34.8125,9.80852,-0.238864,-1.68923,-0.000116172,0.0837041,0.0713224,-38.6026,23.2551,37.8382,6
sitting,78.81818181818181,32.9375,-2.66654,6.43119,6.79072,0.0116148,-0.00718595,-0.00736279,8.57166,-20.4366,-22.9547,35.125,0.791001,9.60583,-2.29785,0.0195651,-0.0482138,-0.0541866,2.77633,-24.0481,3.95434,33.875,9.74434,1.80123,-0.390504,-0.0181347,0.0063946,0.00516772,-7.01229,-6.43273,22.3822,4
standing,73.36363636363636,34.4375,-9.27812,0.904442,2.43823,0.00839914,-0.00819754,-0.0116154,39.6755,-13.1629,-24.3742,37.5625,-0.991876,9.6685,0.534995,0.0729738,-0.00961106,-0.0177452,-1.71994,-37.1614,-0.0916152,34.125,6.79255,-7.17232,-1.17547,0.0243631,-0.0242461,0.0168083,-15.2682,30.2641,15.219,8
transient activities,135.0,32.125,8.2545,1.35502,0.351603,-3.31415,0.109801,-1.29541,-21.1391,-17.7368,-38.9954,36.75,2.15643,7.65198,-1.02769,-0.186926,0.610442,0.0535986,19.3075,-39.4158,-2.37497,34.0,9.46834,0.600827,-1.96806,-0.444992,0.0886443,-0.0361467,-38.8852,6.98693,-4.23988,1
transient activities,98.0,33.875,-9.05949,5.06661,1.34982,-0.865456,-0.539252,-1.40888,35.1044,-30.3163,-25.309,37.9375,-0.424399,8.76522,-4.67912,-0.0924157,0.127827,-0.0888609,0.440179,-46.2233,4.43908,35.1875,9.68799,-1.62607,0.903644,0.0524961,0.0053129,-0.0104113,-48.4828,29.4662,-1.56982,2
standing,78.0,33.625,-7.52559,4.17115,4.37783,-0.0292425,0.0253048,0.0140424,23.1732,-31.8807,-11.7602,36.0,1.31198,9.88223,-0.15966,0.0347667,0.00716833,-0.0372418,-11.0756,-23.6621,0.33066,34.8125,9.13452,-0.707461,-4.24015,0.0150898,-0.0453331,-0.00862149,0.920378,0.684939,38.0034,6
Nordic walking,137.0,33.0,-0.72945,23.5664,6.8389,3.02277,0.452195,0.436182,-10.0176,-41.7724,-9.13957,38.375,-0.980565,4.57339,-1.19068,0.825646,0.925471,0.723254,-8.43214,-36.3818,-15.3712,32.5,8.45016,0.191181,-2.1689,2.93484,-2.14488,4.7255,-34.8389,-13.6462,30.6608,7
walking,124.0,32.5625,-15.5874,-0.0885397,0.422704,-0.307444,2.10554,3.14421,52.7532,5.13351,-13.0944,37.125,1.47588,11.6154,0.0700019,-0.0699951,0.330195,-0.080897,0.959078,-46.6939,18.0297,32.8125,1.72638,-3.6272,-3.68056,0.594242,0.379394,0.784624,-25.8058,40.2166,-18.7275,8
lying,70.0,31.5,12.4251,4.47955,1.25026,0.975878,0.757261,-0.614337,-15.0176,6.32604,-33.8298,34.0625,1.05807,1.96953,10.0451,0.877404,-0.1251,-0.0553529,30.9379,2.1127,-28.2515,32.0625,0.545561,-10.5453,-1.79744,-0.314774,0.335887,-0.177641,-16.2322,20.2356,-7.00697,3
ascending stairs,141.0,32.1875,-9.51038,5.49713,2.41926,0.208541,-1.03195,0.816109,41.1012,-1.72701,-16.1585,36.75,-0.301678,11.6617,0.502299,-0.539827,1.3714,0.675423,-1.11825,-32.564,-5.00462,34.375,23.4987,15.7404,-2.22684,-4.08002,-1.63318,-1.38684,-33.2355,16.6011,4.60475,3
transient activities,93.0,31.125,5.60901,5.24936,4.95581,-0.632432,-0.530996,-0.420401,-7.14373,-21.2054,-14.7819,36.1875,1.00744,9.7415,1.15179,-0.0688099,-0.100317,0.0954942,1.07241,-25.278,6.91056,34.8125,9.69292,0.181108,-1.88597,-0.014928,-0.0291253,0.0355649,-29.9098,-5.46358,7.40818,6
ironing,91.0,34.75,-5.50111,-2.33339,8.54825,-0.365963,-0.385175,0.171869,23.3305,10.0267,-54.2714,37.875,-0.703973,9.42039,-2.59538,0.0540386,-0.520689,0.304549,2.02766,-40.2599,-5.82913,34.625,9.30873,1.03365,-3.70891,-0.258229,0.00156502,0.110047,-38.9447,-22.6737,-0.262569,8
rope jumping,199.0,30.8125,-3.57786,-7.21648,7.28496,-1.76753,1.88777,-0.983007,4.93484,42.9261,-18.0824,34.125,0.248673,6.05424,6.76457,-0.321345,-0.155004,-0.387147,25.3669,-39.8453,7.30331,31.6875,10.5628,-8.41622,-5.18099,-2.97423,-0.192878,3.09054,-29.0249,23.0358,38.1558,8
cycling,122.0,32.9375,-3.06737,-0.946974,8.73398,-0.290737,0.113313,-0.0232981,14.6732,-1.54918,-55.2335,38.125,1.44152,8.2523,-7.23795,0.556017,0.201693,-0.346388,1.0865,-43.0841,14.767,32.3125,5.89515,1.23695,-2.74185,0.477883,0.161977,-0.185064,-37.3974,20.9745,27.0658,7
Nordic walking,137.0,33.0,-0.0138096,10.2744,1.89111,-0.438622,-0.639556,3.18172,1.17009,-43.4848,-6.78966,38.375,2.97281,4.8973,-1.50732,-0.392288,-1.07269,-0.729293,-11.7084,-37.0389,-11.3012,32.4375,9.30077,-0.0774828,-2.46723,-1.40309,0.411227,-0.547673,-32.9288,13.31,35.7422,7
cycling,136.0,28.8125,-5.00891,-0.0548377,9.20222,-1.30064,0.911595,-0.776961,51.1807,5.07982,-33.0382,34.625,-2.17266,3.87369,-10.5418,-0.566206,0.0387297,-0.799789,27.4475,-3.07443,42.0781,34.0625,15.0193,0.953215,-2.87806,0.0318336,0.0761678,0.00989226,-39.8654,-14.9006,0.576167,6
sitting,81.0,34.9375,4.77632,8.42695,3.1622,0.328978,0.314884,0.275406,-6.56975,-22.11,-22.5202,36.875,0.181898,9.89758,1.56226,-0.120158,0.596455,0.165435,5.36172,-24.0056,-4.48817,34.125,9.2792,-2.31474,-2.80087,0.520222,0.422459,-0.225835,-33.7694,0.5823,27.6696,5
